game_id,date,match_id,tournament_id,tournament_name,series_id,series_name,league_id,league_name
0,2019-09-15 10:17:30.487000,0,0,Playoffs,0,VCS Summer 2019,0,VCS
1,2019-09-15 11:18:01.085000,0,0,Playoffs,0,VCS Summer 2019,0,VCS
2,2019-09-15 12:11:33.489000,0,0,Playoffs,0,VCS Summer 2019,0,VCS
3,2019-09-15 13:03:19.662000,0,0,Playoffs,0,VCS Summer 2019,0,VCS
4,2019-09-16 04:32:28.724000,1,1,Playoffs,1,LJL Summer 2019,1,LJL
5,2019-09-16 05:29:41.680000,1,1,Playoffs,1,LJL Summer 2019,1,LJL
6,2019-09-16 06:45:07.195000,1,1,Playoffs,1,LJL Summer 2019,1,LJL
7,2019-09-16 07:45:59.496000,1,1,Playoffs,1,LJL Summer 2019,1,LJL
8,2019-09-15 15:08:08.817000,2,2,Regional Finals,2,LEC Summer 2019,2,LEC
9,2019-09-15 16:03:21.799000,2,2,Regional Finals,2,LEC Summer 2019,2,LEC
10,2019-09-15 16:56:12.079000,2,2,Regional Finals,2,LEC Summer 2019,2,LEC
11,2019-09-21 16:36:28.827000,3,3,Promotion,3,CBLOL Split 1 2020,3,CBLOL
12,2019-09-21 17:35:14.616000,3,3,Promotion,3,CBLOL Split 1 2020,3,CBLOL
13,2019-09-21 18:41:01.168000,3,3,Promotion,3,CBLOL Split 1 2020,3,CBLOL
14,2019-09-21 19:38:47.126000,3,3,Promotion,3,CBLOL Split 1 2020,3,CBLOL
15,2019-09-15 06:03:38.000000,4,4,Playoffs,4,LDL Summer 2019,4,LDL
16,2019-09-15 09:18:10.000000,5,4,Playoffs,4,LDL Summer 2019,4,LDL
17,2019-09-15 10:16:19.000000,5,4,Playoffs,4,LDL Summer 2019,4,LDL
18,2019-09-15 11:02:19.000000,5,4,Playoffs,4,LDL Summer 2019,4,LDL
19,2019-09-16 10:22:19.000000,6,4,Playoffs,4,LDL Summer 2019,4,LDL
20,2019-09-17 05:12:59.000000,7,4,Playoffs,4,LDL Summer 2019,4,LDL
21,2019-09-17 06:08:48.000000,7,4,Playoffs,4,LDL Summer 2019,4,LDL
22,2019-09-17 07:09:28.000000,7,4,Playoffs,4,LDL Summer 2019,4,LDL
23,2019-09-17 08:44:28.000000,8,4,Playoffs,4,LDL Summer 2019,4,LDL
24,2019-09-17 09:39:54.000000,8,4,Playoffs,4,LDL Summer 2019,4,LDL
25,2019-09-17 10:34:11.000000,8,4,Playoffs,4,LDL Summer 2019,4,LDL
26,2019-09-17 11:31:02.000000,8,4,Playoffs,4,LDL Summer 2019,4,LDL
27,2019-09-19 05:14:18.000000,9,4,Playoffs,4,LDL Summer 2019,4,LDL
28,2019-09-19 06:11:23.000000,9,4,Playoffs,4,LDL Summer 2019,4,LDL
29,2019-09-19 07:56:13.000000,9,4,Playoffs,4,LDL Summer 2019,4,LDL
30,2019-09-19 09:40:38.000000,10,4,Playoffs,4,LDL Summer 2019,4,LDL
31,2019-09-19 10:42:34.000000,10,4,Playoffs,4,LDL Summer 2019,4,LDL
32,2019-09-19 11:29:36.000000,10,4,Playoffs,4,LDL Summer 2019,4,LDL
33,2019-09-19 12:24:19.000000,10,4,Playoffs,4,LDL Summer 2019,4,LDL
34,2019-09-21 09:13:30.000000,11,4,Playoffs,4,LDL Summer 2019,4,LDL
35,2019-09-22 10:15:14.000000,12,4,Playoffs,4,LDL Summer 2019,4,LDL
36,2019-09-22 11:09:29.000000,12,4,Playoffs,4,LDL Summer 2019,4,LDL
37,2019-09-22 11:57:23.000000,12,4,Playoffs,4,LDL Summer 2019,4,LDL
38,2019-09-16 17:00:46.141000,13,5,Group A,5,European Masters Summer 2019,5,European Masters
39,2019-09-16 20:07:11.399000,14,5,Group A,5,European Masters Summer 2019,5,European Masters
40,2019-09-17 18:51:34.016000,15,5,Group A,5,European Masters Summer 2019,5,European Masters
41,2019-09-17 20:37:34.456641,16,5,Group A,5,European Masters Summer 2019,5,European Masters
42,2019-09-18 18:06:05.984000,17,5,Group A,5,European Masters Summer 2019,5,European Masters
43,2019-09-19 16:11:29.414192,18,5,Group A,5,European Masters Summer 2019,5,European Masters
44,2019-09-16 17:58:43.498000,19,6,Group B,5,European Masters Summer 2019,5,European Masters
45,2019-09-16 21:02:55.814345,20,6,Group B,5,European Masters Summer 2019,5,European Masters
46,2019-09-17 17:58:48.986000,21,6,Group B,5,European Masters Summer 2019,5,European Masters
47,2019-09-17 19:40:55.543000,22,6,Group B,5,European Masters Summer 2019,5,European Masters
48,2019-09-18 19:04:47.523000,23,6,Group B,5,European Masters Summer 2019,5,European Masters
49,2019-09-19 17:06:47.266000,24,6,Group B,5,European Masters Summer 2019,5,European Masters
